zip,donations,total,population,donations_pct
20601,6976,190404.72999999975,26236,265.89419118768103
20602,6758,109716.81999999996,26835,251.8352897335569
20603,12854,248108.6100000006,32726,392.7763857483347
20606,11,131.43,314,35.031847133757964
20607,6889,181393.81000000043,10755,640.5392840539284
20608,337,2569.720000000003,739,456.02165087956695
20609,61,2290,1211,50.371593724194874
20611,46,1206,1354,33.97341211225997
20612,21,399.17,181,116.02209944751381
20613,6436,170352.85000000012,13240,486.10271903323263
20615,25,633,513,48.732943469785575
20616,1703,38740.899999999994,6728,253.12128418549347
20617,274,7542.26,715,383.2167832167832
20618,313,6069.32,402,778.6069651741293
20619,2733,63659.01000000006,13845,197.39978331527627
20620,393,7357.65,1688,232.81990521327015
20621,66,967,1277,51.68363351605325
20622,356,8922.109999999999,6692,53.19784817692767
20623,2075,33616.96000000001,2619,792.287132493318
20624,60,795,1242,48.309178743961354
20625,454,9224.020000000004,929,488.69752421959095
20626,240,3636.8600000000006,278,863.3093525179855
20628,43,12163.26,452,95.13274336283186
20629,37,813,525,70.47619047619047
20630,371,24333.75,192,1932.2916666666667
20632,21,2812.5,314,66.87898089171975
20634,1095,27256.079999999944,6961,157.30498491596035
20636,2316,58391.37,11295,205.0464807436919
20637,2083,40167.06999999999,5288,393.91074130105903
20639,3313,119571.28999999998,15216,217.73133543638275
20640,1569,24599.82999999998,11113,141.18599838027535
20645,199,10778.3,653,304.7473200612558
20646,5566,130374.95000000004,22583,246.46858256210425
20650,3964,144375.84000000023,14069,281.7542113867368
20653,3608,81705.0799999999,26112,138.17401960784315
20657,5067,125720.03000000009,19711,257.0645832276394
20658,288,10475.370000000004,858,335.6643356643357
20659,2061,66697.38,23030,89.49196699956579
20660,5,190,0,Inf
20662,316,3207.0199999999995,2333,135.44792113159025
20664,225,19794.23,3285,68.4931506849315
20667,37,1525.39,868,42.62672811059908
20670,100,2542.67,1620,61.72839506172839
20674,355,9889.67,1082,328.09611829944544
20675,265,13192.1,1662,159.44645006016847
20676,4042,51759.59,3631,1113.191958138254
20677,666,19220.51,2215,300.67720090293454
20678,2380,49224.85999999996,12418,191.65727170236755
20680,87,6197.360000000001,649,134.05238828967643
20684,90,3067.24,784,114.79591836734694
20685,2422,44961.41000000005,6732,359.7742127153892
20686,776,26377.35,1639,473.4594264795607
20687,80,2937.49,429,186.4801864801865
20688,3855,84676.29000000008,1945,1982.0051413881747
20689,201,18325.74,2386,84.24140821458508
20690,697,10894.629999999992,950,733.6842105263158
20692,161,5585.110000000001,684,235.38011695906434
20693,226,5676.370000000001,1171,192.99743808710505
20695,4407,98344.96999999994,8400,524.6428571428572
20701,127,5610.76,760,167.10526315789474
20705,8949,263127.96999999945,28348,315.6836461126005
20706,12313,314519.8699999994,45329,271.6362593483201
20707,16759,392772.42999999854,32184,520.7245836440467
20708,7135,155413.97000000026,26842,265.8147679010506
20710,645,28141.24,9483,68.01645049035116
20711,1572,67949.20999999996,7400,212.43243243243242
20712,4346,127500.21000000004,9649,450.4093688465126
20714,2108,41288.52999999997,5331,395.42299756143314
20715,17641,314771.77000000153,27360,644.7733918128655
20716,9976,277360.8199999999,22223,448.90428834990774
20720,17274,545108.1899999978,23618,731.3913117114066
20721,27247,1016134.5099999992,30121,904.5848411407324
20722,4938,57960.55000000015,5604,881.1563169164882
20723,12363,402577.18000000034,36082,342.6362175045729
20724,6276,110552.95999999986,17681,354.957298795317
20732,4164,104842.46,10295,404.46818844099073
20733,1910,50651.11,2645,722.117202268431
20735,15308,316990.6299999999,37009,413.629117241752
20736,3030,72934.04000000002,8715,347.6764199655766
20737,3706,102120.56000000011,22666,163.50480896496956
20740,12587,317914.8899999996,31723,396.7783627021404
20742,56,12867.61,6511,8.600829365688835
20743,6852,165297.1299999999,38747,176.8394972514001
20744,31497,615052.9699999988,54572,577.1641134647805
20745,12754,230824.93999999977,27503,463.73122932043776
20746,5612,110835.93000000008,26396,212.60797090468253
20747,9223,156460.6300000003,41128,224.2511184594437
20748,12089,230580.97000000085,38720,312.21590909090907
20751,943,30918.42999999999,1972,478.19472616632856
20754,1806,52836.890000000014,6950,259.8561151079137
20755,718,13748.61,11340,63.31569664902999
20758,169,6653.169999999999,486,347.73662551440333
20759,4003,216717.4500000003,4721,847.9135776318577
20762,160,2821.08,3316,48.25090470446321
20763,1067,16640.289999999997,1955,545.7800511508951
20764,1593,58113.28999999995,3482,457.4956921309592
20765,376,18800.06,530,709.4339622641509
20769,7457,183612.53000000017,6172,1208.198314970836
20770,17073,470197.8199999965,24602,693.967970083733
20772,24555,701566.209999997,46471,528.3940522046007
20774,28133,790564.2600000018,49907,563.708497805919
20776,1344,43335.319999999985,2940,457.1428571428571
20777,2707,111532.35999999994,3444,786.0046457607434
20778,1436,39547.169999999984,2460,583.739837398374
20779,687,29339.599999999988,956,718.6192468619247
20781,5853,231033.8899999996,11460,510.7329842931937
20782,12863,595571.0799999984,32527,395.45608263903836
20783,5720,339753.4999999998,45550,125.57628979143797
20784,5749,90245.51000000014,30381,189.23011092459103
20785,11413,374647.23999999976,39237,290.87341030150117
20794,2890,65081.25000000002,16956,170.44114177872137
20812,416,82029.63,323,1287.9256965944273
20814,54366,3840965.980000051,29632,1834.7057235421166
20815,77637,9090681.019999975,30908,2511.8739484923
20816,35071,3206491.790000002,16661,2104.97569173519
20817,65357,5935171.610000005,38131,1714.0122210275103
20818,3976,339569.6300000002,2072,1918.918918918919
20832,15646,505974.4099999999,25427,615.3301608526369
20833,4572,170021.89000000042,7746,590.2401239349342
20837,4684,155442.2500000004,6129,764.2356012400065
20838,448,18843.38,377,1188.3289124668436
20839,462,11704.82,139,3323.741007194245
20841,4010,161266.3100000001,11692,342.9695518303113
20842,978,55610.649999999994,1467,666.6666666666666
20850,45289,1625183.4800000193,53522,846.175404506558
20851,5030,158464.17000000016,14519,346.44259246504583
20852,48307,1984718.029999996,47338,1020.4698128353542
20853,19911,556389.1599999968,31510,631.8946366232941
20854,55150,4750407.0800000075,49196,1121.026099682901
20855,10620,442482.6699999997,15955,665.6220620495143
20860,4148,138927.70000000022,2890,1435.2941176470588
20861,2729,124085.48999999998,2015,1354.3424317617867
20862,260,16786.32,359,724.233983286908
20866,6180,175550.99000000046,16974,364.08624955814776
20868,451,11939.11,539,836.7346938775511
20871,8598,204083.8700000006,18961,453.45709614471815
20872,7302,125311.22000000012,12790,570.9147771696638
20874,22381,527915.7199999968,60258,371.4195625477115
20876,9660,214333.43000000037,31703,304.7030249503201
20877,15286,371444.01,37948,402.8143775693054
20878,41096,1313016.679999994,63576,646.4074493519568
20879,10054,219295.58000000264,26343,381.6573662832631
20880,1356,52557.24000000001,530,2558.490566037736
20882,8651,261341.96000000025,14441,599.0582369641992
20886,16207,362243.20999999874,34887,464.55699830882565
20895,26497,1347975.3600000064,18930,1399.7358689910195
20896,1962,161566.2600000002,792,2477.272727272727
20899,30,3050,284,105.63380281690141
20901,42989,1309525.8700000062,36802,1168.1158632683007
20902,29875,1073108.0000000023,52752,566.3292387018502
20903,6587,250580.09999999992,26951,244.40651552818076
20904,41324,1477418.6700000064,55856,739.8309939845317
20905,12733,509001.05000000366,18590,684.9381387842926
20906,54095,1138991.140000007,70441,767.9476441277096
20910,60712,2979373.470000009,43729,1388.3692743945667
20912,38778,1936275.090000004,25118,1543.8331077315072
21001,9185,126335.17999999996,24959,368.00352578228296
21005,1513,7449.8,2724,555.4331864904552
21009,5538,94785.23000000004,31683,174.79405359340973
21010,1196,18019.26,329,3635.2583586626142
21012,11344,448162.7999999995,22746,498.72505055833994
21013,1809,42460.45999999997,5157,350.7853403141361
21014,9571,216782.57000000024,35668,268.33576314904116
21015,7969,198034.8099999996,28975,275.030198446937
21017,1139,18434.4,6034,188.7636725223732
21028,777,21243.45,2609,297.81525488692984
21029,5070,334097.21000000037,11523,439.9895860453007
21030,9939,375350.1199999992,24152,411.5187148062272
21031,10,589.24,26,384.61538461538464
21032,5033,231805.08,7787,646.3336329780403
21034,608,23530.29,3178,191.31529263687855
21035,6200,200449.85000000024,8315,745.640408899579
21036,1189,69995.87,2243,530.0936246098975
21037,9471,376584.1499999987,21134,448.14043721018265
21040,2305,33320.56,24717,93.25565400331755
21042,28455,1050627.5999999992,42157,674.9768721683231
21043,20844,686790.2499999983,46747,445.8895758016557
21044,44569,1337506.6200000034,45741,974.3774731641197
21045,30660,803755.2300000013,40265,761.4553582515833
21046,11234,309389.19999999896,15597,720.2667179585818
21047,2633,69101.56999999999,12629,208.48839971494178
21048,2073,66157.87999999996,9719,213.29354871900404
21050,3563,70752.11000000012,17846,199.65258321192425
21051,461,25766.14,231,1995.6709956709958
21052,16,551,179,89.3854748603352
21053,776,14091.339999999998,3134,247.60689215060626
21054,5833,159548.24000000028,11697,498.67487389929045
21056,98,38413,333,294.2942942942943
21057,2464,65720.03000000001,4109,599.6592844974447
21060,14209,173872.13999999993,36049,394.15795167688424
21061,10219,168692.45000000004,55020,185.7324609233006
21071,287,8471.130000000001,454,632.1585903083701
21074,2983,55540.70000000002,14933,199.7589231902498
21075,8984,224807.7100000003,34939,257.13386187355104
21076,6352,235382.90000000017,17947,353.9310191118293
21077,85,1464.38,235,361.7021276595745
21078,7808,212588.47000000055,18957,411.87951680118164
21082,459,13343.93,608,754.9342105263158
21084,1638,29954.660000000033,7670,213.5593220338983
21085,2745,55980.65999999996,16318,168.2191445030028
21087,656,20466.26,5437,120.6547728526761
2109,2,105,3639,0.5496015388843088
21090,1933,50232.64000000003,9715,198.97066392177047
21093,22218,633944.1899999967,38245,580.9386847953981
21102,3317,51923.16000000006,12043,275.4297102050984
21104,4210,99374.20000000011,6029,698.2915906452148
21105,28,267,0,Inf
