Day,Montgomery,Prince George's,Baltimore County,Anne Arundel,Baltimore City
Day1,12114,12642,9953,8012,4521
Day2,11813,11809,9413,7446,3756
Day3,7314,7384,5902,4386,2350
Day4,6760,6297,6076,4088,2118
Day5,10646,11834,9256,7332,4153
Day6,10780,11809,9715,7627,4454
