"County","County Name","Election District - Precinct","Congressional","Legislative","Office Name","Office District","Candidate Name","Party","Winner","Early Votes","Election Night Votes","Mail-In Ballot 1 Votes","Provisional Votes","Mail-In Ballot 2 Votes" 
"01","Allegany County","002-000","06","01C","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","10","102","11","7","1" 
"01","Allegany County","002-000","06","01C","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","3","7","2","1","0" 
"01","Allegany County","002-000","06","01C","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","9","95","9","5","1" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Nikki R. Haley","REP","","2","3","2","2","0" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","","Donald J. Trump","REP","Y","18","80","6","4","1" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","06","Nikki R. Haley","REP","","2","3","2","2","0" 
"01","Allegany County","003-000","06","01C","President - Vice Pres","06","Donald J. Trump","REP","Y","18","80","6","4","1" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Moe H. Barakat","REP","","0","2","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Chris Chaffee","REP","","3","1","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Robin Ficker","REP","","14","48","2","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Lorie R. Friend","REP","","0","0","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Larry Hogan","REP","Y","3","33","4","5","1" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","John A. Myrick","REP","","0","0","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Senator","","Laban Y. Seyoum","REP","","0","0","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Dan Cox","REP","","12","29","3","1","0" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Chris Hyser","REP","","0","2","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Neil C. Parrott","REP","Y","5","43","2","3","1" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Todd A. Puglisi","REP","","0","0","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Mariela Roca","REP","","0","7","0","0","0" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Tom Royals","REP","","2","0","0","1","0" 
"01","Allegany County","003-000","06","01C","U.S. Congress","06","Brenda J. Thiam","REP","","0","2","1","0","0" 
"01","Allegany County","003-000","06","01C","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","17","69","2","3","1" 
"01","Allegany County","003-000","06","01C","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","16","69","4","3","1" 
"01","Allegany County","003-000","06","01C","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","16","71","3","3","1" 
"01","Allegany County","003-000","06","01C","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","2","4","2","2","0" 
"01","Allegany County","003-000","06","01C","REP Delegates","06","Seth Schwartz (Haley)","REP","","2","4","3","2","0" 
"01","Allegany County","003-000","06","01C","REP Delegates","06","Jim Shalleck (Haley)","REP","","2","4","2","2","0" 
"01","Allegany County","003-000","06","01C","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","16","70","4","3","1" 
"01","Allegany County","003-000","06","01C","REP Alternates","06","Matthew E. Iager (Haley)","REP","","2","7","1","2","0" 
"01","Allegany County","003-000","06","01C","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","16","71","4","3","1" 
"01","Allegany County","003-000","06","01C","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","3","6","3","2","0" 
"01","Allegany County","003-000","06","01C","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","16","66","1","3","1" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Nikki R. Haley","REP","","6","27","29","3","0" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","","Donald J. Trump","REP","Y","84","295","127","5","0" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","06","Nikki R. Haley","REP","","6","27","29","3","0" 
"01","Allegany County","004-000","06","01B","President - Vice Pres","06","Donald J. Trump","REP","Y","84","295","127","5","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Moe H. Barakat","REP","","0","4","1","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Chris Chaffee","REP","","3","8","2","1","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Robin Ficker","REP","","55","164","35","1","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Lorie R. Friend","REP","","5","20","16","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Larry Hogan","REP","Y","25","122","91","3","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","John A. Myrick","REP","","1","1","1","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Senator","","Laban Y. Seyoum","REP","","0","1","0","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Dan Cox","REP","","26","104","44","2","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Chris Hyser","REP","","2","8","7","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Neil C. Parrott","REP","Y","38","117","55","1","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Todd A. Puglisi","REP","","1","2","2","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Mariela Roca","REP","","15","67","20","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Tom Royals","REP","","5","7","3","0","0" 
"01","Allegany County","004-000","06","01B","U.S. Congress","06","Brenda J. Thiam","REP","","3","3","3","0","0" 
"01","Allegany County","004-000","06","01B","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","71","255","104","4","0" 
"01","Allegany County","004-000","06","01B","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","66","268","109","4","0" 
"01","Allegany County","004-000","06","01B","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","68","271","111","4","0" 
"01","Allegany County","004-000","06","01B","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","6","29","25","3","0" 
"01","Allegany County","004-000","06","01B","REP Delegates","06","Seth Schwartz (Haley)","REP","","9","27","22","3","0" 
"01","Allegany County","004-000","06","01B","REP Delegates","06","Jim Shalleck (Haley)","REP","","6","23","26","3","0" 
"01","Allegany County","004-000","06","01B","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","68","267","101","3","0" 
"01","Allegany County","004-000","06","01B","REP Alternates","06","Matthew E. Iager (Haley)","REP","","6","32","26","3","0" 
"01","Allegany County","004-000","06","01B","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","69","264","100","3","0" 
"01","Allegany County","004-000","06","01B","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","6","26","29","3","0" 
"01","Allegany County","004-000","06","01B","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","66","269","102","3","0" 
"01","Allegany County","005-000","06","01B","President - Vice Pres","","Nikki R. Haley","REP","","4","12","4","1","0" 
"01","Allegany County","005-000","06","01B","President - Vice Pres","","Donald J. Trump","REP","Y","17","112","33","4","4" 
"01","Allegany County","005-000","06","01B","President - Vice Pres","06","Nikki R. Haley","REP","","4","12","4","1","0" 
"01","Allegany County","005-000","06","01B","President - Vice Pres","06","Donald J. Trump","REP","Y","17","112","33","4","4" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","Moe H. Barakat","REP","","0","1","0","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","Chris Chaffee","REP","","3","6","1","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","Robin Ficker","REP","","7","66","8","3","1" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","Lorie R. Friend","REP","","3","2","2","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","Larry Hogan","REP","Y","7","46","25","3","3" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","John A. Myrick","REP","","0","2","1","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Senator","","Laban Y. Seyoum","REP","","0","1","1","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Dan Cox","REP","","7","45","9","1","1" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Chris Hyser","REP","","0","1","2","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Neil C. Parrott","REP","Y","5","57","16","3","3" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Todd A. Puglisi","REP","","0","0","0","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Mariela Roca","REP","","8","12","4","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Tom Royals","REP","","0","4","0","0","0" 
"01","Allegany County","005-000","06","01B","U.S. Congress","06","Brenda J. Thiam","REP","","1","1","1","0","0" 
"01","Allegany County","005-000","06","01B","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","13","93","27","3","4" 
"01","Allegany County","005-000","06","01B","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","16","97","28","4","2" 
"01","Allegany County","005-000","06","01B","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","16","97","28","4","2" 
"01","Allegany County","005-000","06","01B","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","4","11","5","1","0" 
"01","Allegany County","005-000","06","01B","REP Delegates","06","Seth Schwartz (Haley)","REP","","3","12","6","1","0" 
"01","Allegany County","005-000","06","01B","REP Delegates","06","Jim Shalleck (Haley)","REP","","3","11","6","1","0" 
"01","Allegany County","005-000","06","01B","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","12","97","26","4","2" 
"01","Allegany County","005-000","06","01B","REP Alternates","06","Matthew E. Iager (Haley)","REP","","4","14","5","1","0" 
"01","Allegany County","005-000","06","01B","REP Alternates","06","Randy Leatherman (Trump)","REP","Y","13","97","26","4","3" 
"01","Allegany County","005-000","06","01B","REP Alternates","06","Brian P. Sweeney (Haley)","REP","","6","12","6","2","0" 
"01","Allegany County","005-000","06","01B","REP Alternates","06","Seth Edward Wilson (Trump)","REP","Y","16","93","27","3","3" 
"01","Allegany County","006-005","06","01B","President - Vice Pres","","Nikki R. Haley","REP","","12","29","18","3","0" 
"01","Allegany County","006-005","06","01B","President - Vice Pres","","Donald J. Trump","REP","Y","64","144","62","2","0" 
"01","Allegany County","006-005","06","01B","President - Vice Pres","06","Nikki R. Haley","REP","","12","29","18","3","0" 
"01","Allegany County","006-005","06","01B","President - Vice Pres","06","Donald J. Trump","REP","Y","64","144","62","2","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","Moe H. Barakat","REP","","0","0","0","1","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","Chris Chaffee","REP","","3","4","2","0","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","Robin Ficker","REP","","29","55","18","1","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","Lorie R. Friend","REP","","1","7","2","0","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","Larry Hogan","REP","Y","42","108","59","4","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","John A. Myrick","REP","","2","1","0","0","0" 
"01","Allegany County","006-005","06","01B","U.S. Senator","","Laban Y. Seyoum","REP","","1","0","0","0","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Dan Cox","REP","","17","43","17","0","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Chris Hyser","REP","","2","3","3","1","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Neil C. Parrott","REP","Y","36","71","35","1","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Todd A. Puglisi","REP","","1","0","1","1","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Mariela Roca","REP","","13","44","8","1","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Tom Royals","REP","","8","4","1","0","0" 
"01","Allegany County","006-005","06","01B","U.S. Congress","06","Brenda J. Thiam","REP","","0","4","5","0","0" 
"01","Allegany County","006-005","06","01B","REP Delegates","06","Barrie S. Ciliberti (Trump)","REP","Y","60","130","52","3","0" 
"01","Allegany County","006-005","06","01B","REP Delegates","06","Jerry DeWolf (Trump)","REP","Y","62","126","50","3","0" 
"01","Allegany County","006-005","06","01B","REP Delegates","06","Derek J. Harvey (Trump)","REP","Y","58","132","57","3","0" 
"01","Allegany County","006-005","06","01B","REP Delegates","06","Robert Vincent Johnson, II (Haley)","REP","","12","34","13","3","0" 
"01","Allegany County","006-005","06","01B","REP Delegates","06","Seth Schwartz (Haley)","REP","","13","31","12","3","0" 
"01","Allegany County","006-005","06","01B","REP Delegates","06","Jim Shalleck (Haley)","REP","","11","30","14","3","0" 
"01","Allegany County","006-005","06","01B","REP Alternates","06","Joeylynn Hough (Trump)","REP","Y","56","127","49","2","0" 
"01","Allegany County","006-005","06","01B","REP Alternates","06","Matthew E. Iager (Haley)","REP","","15","33","13","3","0" 
